date,tvl_usd
2020-12-17,149.07848
2020-12-18,217.78555
2020-12-19,211.2384
2020-12-20,210.53813
2020-12-21,2248086.81045
2020-12-22,31169389.56508
2020-12-23,27984317.40984
2020-12-24,25741934.00731
2020-12-25,24894977.53448
2020-12-26,25127498.49352
2020-12-27,25013045.4475
2020-12-28,26484440.90839
2020-12-29,30179231.01818
2020-12-30,32590329.5977
2020-12-31,53888646.15727
2021-01-01,55413843.48946
2021-01-02,67996797.94825
2021-01-03,73794195.37449
2021-01-04,74157591.28683
2021-01-05,72166022.50207
2021-01-06,72091810.74502
2021-01-07,71901233.96362
2021-01-08,70630157.83324
2021-01-09,71958258.61436
2021-01-10,71831371.21378
2021-01-11,79011055.16003
2021-01-12,79054922.25805
2021-01-13,82867393.9093
2021-01-14,85254287.31783
2021-01-15,88485715.93018
2021-01-16,91740624.23029
2021-01-17,99126814.02571
2021-01-18,103716355.8572
2021-01-19,108052209.12809
2021-01-20,111371707.09181
2021-01-21,109876427.97481
2021-01-22,104254457.45811
2021-01-23,100449188.40477
2021-01-24,87626680.6779
2021-01-25,89327132.06993
2021-01-26,90061586.59269
2021-01-27,84243771.84352
2021-01-28,75769043.00367
2021-01-29,73805483.80609
2021-01-30,73092386.49723
2021-01-31,72471557.58779
2021-02-01,73056676.803
2021-02-02,71934833.15364
2021-02-03,71404365.05938
2021-02-04,71141330.39575
2021-02-05,69538029.24841
2021-02-06,68868544.12497
2021-02-07,68061300.9295
2021-02-08,68128883.53679
2021-02-09,67899751.44795
2021-02-10,69142518.72254
2021-02-11,70182556.37718
2021-02-12,69932420.42535
2021-02-13,70137014.19975
2021-02-14,70193591.95216
2021-02-15,70913320.28689
2021-02-16,71285194.1503
2021-02-17,72388542.46408
2021-02-18,71539374.67826
2021-02-19,79206215.11133
2021-02-20,80359809.35299
2021-02-21,81712952.0927
2021-02-22,80531803.76057
2021-02-23,78190934.01793
2021-02-24,73089309.1911
2021-02-25,72183744.03867
2021-02-26,71519741.277
2021-02-27,70913049.70486
2021-02-28,71536962.90404
2021-03-01,72321416.66745
2021-03-02,73799238.54807
2021-03-03,74263357.74652
2021-03-04,74897684.76817
2021-03-05,75194494.43292
2021-03-06,75162220.01467
2021-03-07,75224403.96503
2021-03-08,75718093.31448
2021-03-09,76158081.68199
2021-03-10,78002758.69925
2021-03-11,78989675.41092
2021-03-12,80541162.32006
2021-03-13,83795368.25711
2021-03-14,90634510.91288
2021-03-15,95442097.73542
2021-03-16,96532939.43533
2021-03-17,97690282.03448
2021-03-18,96504636.40329
2021-03-19,96841649.29113
2021-03-20,96742121.54693
2021-03-21,97271884.43962
2021-03-22,96657990.79792
2021-03-23,94038040.96539
2021-03-24,94393271.69032
2021-03-25,94084420.799
2021-03-26,91654882.06675
2021-03-27,91669284.69648
2021-03-28,91631706.83823
2021-03-29,92497452.58574
2021-03-30,90103253.36968
2021-03-31,92238851.4983
2021-04-01,93555660.63508
2021-04-02,93014453.70933
2021-04-03,92740029.42803
2021-04-04,91285207.71629
2021-04-05,91284303.12369
2021-04-06,91361491.9558
2021-04-07,91005342.64685
2021-04-08,90917258.16643
2021-04-09,91155945.08438
2021-04-10,90960382.79662
2021-04-11,92021221.40647
2021-04-12,91867384.86117
2021-04-13,91961094.88911
2021-04-14,91754026.05594
2021-04-15,92010923.46091
2021-04-16,92504827.27077
2021-04-17,92365536.09204
2021-04-18,92636551.69108
2021-04-19,88916821.77805
2021-04-20,89491646.68064
2021-04-21,88393951.39901
2021-04-22,89473967.07162
2021-04-23,90940427.76816
2021-04-24,87364846.23803
2021-04-25,87044954.72972
2021-04-26,87225494.44218
2021-04-27,87300937.18579
2021-04-28,87799671.19737
2021-04-29,88990421.83761
2021-04-30,89525803.22494
2021-05-01,90555455.15538
2021-05-02,91883157.99844
2021-05-03,90167204.42083
2021-05-04,94306786.05475
2021-05-05,94295577.72704
2021-05-06,93715589.60537
2021-05-07,95286571.88215
2021-05-08,95303330.9358
2021-05-09,96054675.64659
2021-05-10,97159353.76623
2021-05-11,114741826.18173
2021-05-12,117763976.97305
2021-05-13,118905184.26749
2021-05-14,117197853.97235
2021-05-15,112969005.54119
2021-05-16,112684540.74742
2021-05-17,109864082.75306
2021-05-18,107176579.24444
2021-05-19,106759404.50704
2021-05-20,105075416.95161
2021-05-21,104017552.6326
2021-05-22,101695991.81133
2021-05-23,100921471.67068
2021-05-24,94918479.96039
2021-05-25,94754907.4277
2021-05-26,94759866.15377
2021-05-27,95232988.67264
2021-05-28,95689596.05413
2021-05-29,95418533.51415
2021-05-30,96365851.97689
2021-05-31,98678896.92021
2021-06-01,99385158.05278
2021-06-02,101083732.21046
2021-06-03,102283332.6025
2021-06-04,102367572.11052
2021-06-05,102152269.53635
2021-06-06,102394104.74383
2021-06-07,102483676.87926
2021-06-08,102501033.88295
